session_pitch,max_shoulder_external_rotation,time_max_shoulder_external_rotation,max_elbow_extension,time_max_elbow_extension,max_hip_shoulder_separation,time_max_hip_shoulder_separation
1783_3,178.24,1.2889,25.4982,1.3889,28.0211,1.1556
1783_4,178.5277,1.1028,23.3179,1.2056,28.7584,0.9694
1783_5,177.902,1.2833,25.4532,1.3861,27.0269,1.1528
1808_1,168.4869,1.3306,25.4305,1.0083,25.7179,1.1806
1808_2,168.1608,1.2056,24.3083,0.8778,27.4708,1.0556
1808_3,168.5074,1.2194,24.2492,0.8917,26.7585,1.0694
1808_4,168.3182,1.1222,24.4931,0.7889,26.0,0.9694
1808_5,167.7306,1.1722,23.7883,0.8361,27.0232,1.0167
1826_1,173.4894,1.3944,26.1739,1.0861,33.9563,1.2667
1826_2,175.3444,1.2667,28.2819,0.9528,35.0855,1.1389
1826_3,177.2152,1.2861,22.0835,0.975,34.672,1.1583
1826_4,174.953,1.3111,27.1577,1.475,33.8101,1.1861
1826_5,176.0887,1.3444,24.5824,1.0278,34.4955,1.2194
1830_1,166.0445,1.6333,33.8928,1.6667,23.0931,1.5611
1830_2,166.7035,1.5111,33.6815,1.5444,23.8003,1.4333
1830_3,164.9287,1.425,34.8352,1.4583,23.6195,1.3528
1830_4,166.4415,1.4528,31.3981,1.6583,23.7856,1.3861
1830_5,165.8914,1.4111,33.4453,1.4472,23.6546,1.3444
1845_1,179.0422,0.875,24.4252,0.5806,38.5789,0.75
1845_2,179.9083,0.9528,23.4555,0.6417,42.0207,0.8278
1845_3,181.3588,1.0389,23.1679,0.7389,40.8003,0.9111
2653_1,169.1149,1.4333,28.9441,1.1222,35.1037,1.3306
2653_2,170.1366,1.2861,27.1054,0.9917,36.2819,1.1889
2653_3,168.7091,1.2222,27.8934,0.9306,35.6802,1.1194
2653_4,172.2374,1.2861,24.9422,0.975,36.9074,1.1889
2653_5,170.2402,1.2333,26.7095,0.9361,34.1255,1.1333
2655_1,148.6946,1.1722,26.6439,0.8583,31.2092,1.0444
2655_2,149.7039,1.1,31.0474,1.1333,31.3191,0.9722
2655_3,149.0441,1.3,30.8219,0.9972,31.3703,1.1722
2655_4,149.2454,1.1611,30.8763,1.1917,31.8298,1.0361
2655_5,149.3529,1.1611,31.1786,1.1917,32.7657,1.0333
2730_1,155.6044,1.1333,26.9782,1.1722,24.8662,0.9917
2730_2,155.9367,1.2389,25.3899,1.275,25.0339,1.1028
2730_3,155.0093,1.2139,24.6262,1.2528,24.5123,1.0778
2730_5,153.58,1.1833,25.4292,1.2194,23.2454,1.05
2734_1,187.2702,1.5083,15.9615,1.2222,39.1023,1.3806
2734_2,188.6939,1.4972,15.5385,1.2083,41.9362,1.3917
2734_3,191.2588,1.3139,15.4934,1.0389,36.2088,1.1861
2734_4,191.0558,1.5806,15.6105,1.2944,35.1037,1.4556
2734_5,190.8333,1.4889,15.0709,1.2083,36.3886,1.3639
2742_1,168.7007,1.3278,19.3142,1.4417,38.796,1.1917
2742_2,170.1749,1.2222,18.4589,1.3361,36.6081,1.0889
2742_3,171.3882,1.2694,19.4771,0.9694,37.7529,1.1361
2742_4,173.1169,1.1778,18.3676,0.8611,34.7311,1.0361
2742_5,170.3753,1.1417,17.5785,1.2556,37.8856,1.0056
2753_1,174.3232,1.6639,22.3515,1.775,24.2605,1.5333
